ID,Brand,Category,Color,Price,Size,Material
295,Adidas,Sweater,White,105.28625472887768,XXL,Silk
296,Adidas,Jeans,White,156.0,XXL,Polyester
297,Under Armour,Jacket,Red,27.0,XL,Polyester
298,Adidas,Dress,Yellow,94.0,XL,Silk
300,Adidas,Dress,Blue,79.0,S,Denim
301,Reebok,T-shirt,Red,105.28625472887768,XL,Silk
302,Under Armour,Jacket,Red,150.0,XS,Denim
303,Under Armour,Dress,Yellow,54.0,XS,Silk
304,Reebok,Jacket,White,127.0,XXL,Wool
305,Under Armour,Dress,Red,76.0,XXL,Cotton
306,Reebok,Jacket,Black,105.28625472887768,XS,Denim
307,Puma,Sweater,Red,101.0,M,Silk
308,Under Armour,T-shirt,White,95.0,XS,Cotton
309,Reebok,Sweater,Yellow,177.0,XS,Nylon
310,Under Armour,Shoes,Red,105.28625472887768,XS,Silk
311,New Balance,Shoes,Green,160.0,L,Cotton
312,Under Armour,Jacket,Yellow,168.0,XS,Nylon
313,Reebok,Jacket,Blue,155.0,XL,Silk
314,Nike,T-shirt,Red,28.0,XS,Nylon
315,Adidas,Jeans,Yellow,102.0,S,Cotton
316,Under Armour,Jacket,Blue,53.0,XL,Denim
317,New Balance,Jeans,Yellow,93.0,XS,Silk
318,Under Armour,T-shirt,White,187.0,XXL,Cotton
319,Under Armour,Jacket,Red,105.28625472887768,L,Wool
320,Under Armour,Jacket,Black,103.0,XS,Denim
321,New Balance,Sweater,Green,184.0,L,Polyester
322,Under Armour,T-shirt,Blue,159.0,XL,Silk
323,Under Armour,Sweater,Red,99.0,XS,Nylon
324,Reebok,Sweater,White,105.28625472887768,XL,Denim
325,Nike,Jacket,Black,38.0,XL,Polyester
326,New Balance,Jacket,Red,115.0,L,Silk
327,Puma,Shoes,Yellow,196.0,XS,Nylon
328,Puma,Dress,Red,105.28625472887768,L,Nylon
329,New Balance,Jacket,Red,73.0,L,Denim
330,Adidas,Dress,Red,26.0,XS,Silk
331,New Balance,T-shirt,Blue,105.28625472887768,XS,Silk
332,New Balance,Jeans,White,174.0,L,Silk
333,Puma,Sweater,Red,104.0,M,Denim
334,Under Armour,Shoes,White,34.0,S,Silk
335,Puma,Dress,White,126.0,XL,Wool
336,Nike,T-shirt,Yellow,61.0,XL,Denim
337,Nike,Jacket,White,146.0,XL,Nylon
338,Reebok,Shoes,White,194.0,XS,Denim
339,Puma,Shoes,Yellow,101.0,XS,Silk
340,Under Armour,T-shirt,White,103.0,S,Wool
341,New Balance,Jacket,Yellow,133.0,XXL,Silk
342,Adidas,Jeans,Black,97.0,S,Wool
343,Under Armour,Jeans,Red,170.0,L,Denim
344,Puma,Shoes,Yellow,157.0,XS,Denim
345,Puma,Dress,Black,82.0,XL,Silk
346,Under Armour,Jacket,Yellow,97.0,L,Nylon
347,Reebok,Jacket,Yellow,23.0,M,Cotton
348,Puma,Shoes,Blue,68.0,M,Silk
349,Reebok,Jeans,Yellow,91.0,XXL,Denim
350,New Balance,Shoes,Yellow,130.0,S,Nylon
351,New Balance,Shoes,Yellow,126.0,XS,Denim
352,Adidas,T-shirt,Yellow,193.0,XS,Nylon
353,Puma,T-shirt,Yellow,74.0,M,Cotton
354,Under Armour,Dress,Green,174.0,S,Wool
355,Reebok,Jeans,Green,35.0,S,Silk
356,Adidas,Jeans,Black,42.0,XS,Cotton
357,Nike,Sweater,White,180.0,XXL,Silk
358,Adidas,Shoes,Black,24.0,XS,Nylon
359,Reebok,Dress,Black,38.0,M,Silk
360,Puma,Jeans,Green,30.0,XXL,Wool
361,Puma,Sweater,White,78.0,XL,Polyester
362,Nike,Jacket,Black,32.0,S,Silk
363,Reebok,Shoes,Blue,132.0,XS,Polyester
364,Puma,Sweater,Red,93.0,XXL,Wool
365,Puma,Jeans,Blue,145.0,XXL,Cotton
366,Reebok,T-shirt,Red,71.0,S,Denim
367,Adidas,Dress,White,151.0,XXL,Silk
368,New Balance,Jacket,Red,15.0,XL,Silk
369,Under Armour,Shoes,Yellow,10.0,M,Silk
370,Adidas,T-shirt,Black,146.0,XL,Silk
371,Reebok,Dress,Red,191.0,M,Polyester
372,New Balance,Jacket,Yellow,149.0,S,Wool
373,Adidas,Jacket,Blue,14.0,L,Polyester
374,Puma,Shoes,Yellow,177.0,S,Nylon
375,New Balance,Shoes,Red,102.0,L,Nylon
376,New Balance,Jeans,Yellow,183.0,XXL,Cotton
377,Reebok,Sweater,Yellow,36.0,S,Cotton
378,Puma,Shoes,Blue,84.0,XXL,Silk
379,Puma,T-shirt,Blue,62.0,XL,Nylon
380,Puma,Shoes,White,187.0,M,Polyester
381,New Balance,Sweater,Red,61.0,S,Wool
382,Adidas,Jeans,White,115.0,XXL,Nylon
383,Under Armour,Jeans,White,28.0,XS,Nylon
384,Nike,T-shirt,Yellow,127.0,M,Polyester
385,Under Armour,Jacket,Green,44.0,XL,Nylon
386,Nike,Dress,Yellow,61.0,S,Denim
387,Reebok,Jacket,Red,168.0,XXL,Polyester
388,Under Armour,Jacket,Green,191.0,M,Denim
389,New Balance,Shoes,White,105.28625472887768,XS,Silk
390,Nike,T-shirt,Yellow,181.0,M,Polyester
391,Puma,Jacket,Red,65.0,S,Polyester
392,Under Armour,Shoes,Red,28.0,XS,Silk
393,Under Armour,Jacket,Yellow,105.28625472887768,S,Nylon
394,Adidas,T-shirt,Red,97.0,L,Wool
395,Reebok,Dress,Red,80.0,M,Silk
396,Under Armour,Shoes,Green,63.0,XXL,Denim
397,Puma,Jeans,Red,105.28625472887768,XS,Wool
398,New Balance,Jacket,Red,104.0,S,Denim
399,Puma,Jacket,White,69.0,L,Polyester
400,Under Armour,Sweater,Blue,90.0,S,Silk
402,Reebok,Shoes,White,134.0,M,Silk
403,Under Armour,Jacket,Red,173.0,M,Silk
404,New Balance,Dress,Yellow,68.0,L,Silk
405,Under Armour,Sweater,Red,105.28625472887768,XS,Denim
406,Nike,Jacket,Red,116.0,M,Nylon
407,Nike,Shoes,Red,54.0,XS,Polyester
408,Puma,Jacket,Blue,23.0,XXL,Silk
409,Under Armour,Jacket,Black,131.0,XS,Denim
410,Under Armour,Jacket,White,105.28625472887768,M,Cotton
412,New Balance,T-shirt,Blue,177.0,XS,Silk
413,Puma,Jacket,Red,105.28625472887768,XS,Cotton
414,Under Armour,Dress,Yellow,23.0,S,Silk
415,Nike,Jacket,Blue,145.0,XS,Silk
416,Nike,Jacket,Green,32.0,XS,Silk
418,Reebok,Dress,White,18.0,XS,Wool
419,Nike,T-shirt,Red,16.0,XL,Silk
420,Under Armour,Jacket,Black,105.28625472887768,XS,Nylon
421,Reebok,Jeans,Yellow,154.0,XL,Silk
422,Puma,Jacket,Yellow,66.0,XL,Polyester
423,Nike,T-shirt,White,105.28625472887768,M,Polyester
424,Under Armour,Jeans,Red,161.0,XS,Silk
426,Nike,Sweater,White,14.0,XXL,Cotton
427,Nike,Sweater,Red,105.28625472887768,XXL,Polyester
428,Nike,Jacket,Yellow,105.28625472887768,XS,Wool
429,Reebok,Jacket,Red,97.0,XL,Silk
430,Under Armour,Shoes,Green,40.0,XXL,Silk
431,Under Armour,Jacket,Black,64.0,XS,Polyester
432,Puma,Jacket,Red,105.28625472887768,XS,Polyester
433,Under Armour,Jeans,Blue,30.0,XL,Denim
434,New Balance,Jacket,Red,107.0,XL,Silk
435,Puma,Jacket,Red,111.0,M,Silk
437,Under Armour,Sweater,Yellow,161.0,M,Denim
438,New Balance,Jeans,Red,105.28625472887768,XS,Silk
439,Nike,Jacket,Green,39.0,L,Nylon
440,Under Armour,Dress,Blue,171.0,XXL,Polyester
441,Under Armour,Jacket,Black,105.28625472887768,XL,Silk
442,Adidas,Shoes,Red,105.28625472887768,S,Denim
443,Adidas,T-shirt,Black,129.0,XL,Nylon
444,Puma,Jacket,Green,189.0,XXL,Wool
445,Reebok,Jacket,Blue,96.0,L,Polyester
446,Reebok,T-shirt,Black,105.28625472887768,XXL,Polyester
447,Under Armour,Jeans,Green,115.0,L,Silk
448,Reebok,Jacket,Red,147.0,XS,Polyester
449,New Balance,Jacket,Black,105.28625472887768,S,Wool
450,Nike,T-shirt,Red,138.0,XS,Polyester
451,Under Armour,Jacket,Red,93.0,XL,Cotton
452,Puma,Sweater,Red,130.0,XL,Silk
453,Adidas,Sweater,Red,174.0,XS,Silk
454,Under Armour,Jacket,Red,158.0,XS,Polyester
455,Nike,Jeans,White,127.0,S,Silk
456,Under Armour,T-shirt,Red,13.0,XL,Cotton
457,Adidas,Dress,White,136.0,XS,Denim
458,Under Armour,Jeans,Black,52.0,XXL,Silk
459,Adidas,Jacket,Black,75.0,XXL,Wool
460,Under Armour,Sweater,Red,105.28625472887768,L,Wool
461,Adidas,Jacket,Red,46.0,XS,Cotton
462,Under Armour,Shoes,Black,78.0,L,Polyester
463,Adidas,Shoes,Black,122.0,XXL,Silk
464,Reebok,Jeans,Red,185.0,L,Nylon
465,New Balance,Jacket,Green,148.0,XL,Cotton
466,Under Armour,Sweater,Red,114.0,S,Silk
467,Puma,Dress,Yellow,101.0,XS,Silk
468,Under Armour,Jacket,Red,53.0,S,Cotton
469,Nike,T-shirt,Red,105.28625472887768,XL,Nylon
470,Under Armour,Jacket,Black,169.0,XXL,Wool
471,Under Armour,Shoes,Red,158.0,XS,Silk
472,Puma,T-shirt,Blue,19.0,S,Denim
473,New Balance,Shoes,Red,198.0,L,Wool
474,Reebok,Shoes,Black,101.0,L,Polyester
475,Nike,Shoes,Yellow,121.0,XXL,Denim
476,Nike,Jacket,Red,173.0,M,Denim
477,Puma,Dress,White,93.0,XS,Polyester
478,Adidas,Sweater,White,86.0,XS,Denim
479,Under Armour,Jacket,Red,28.0,XL,Wool
480,Under Armour,Jacket,Black,123.0,L,Nylon
481,Under Armour,Dress,Black,84.0,S,Cotton
482,Under Armour,T-shirt,Red,181.0,S,Silk
483,Nike,Jacket,Black,141.0,M,Polyester
484,Reebok,Jeans,Yellow,105.28625472887768,XS,Wool
485,Under Armour,T-shirt,Red,68.0,S,Denim
486,Nike,Shoes,Black,139.0,XS,Silk
487,Puma,T-shirt,Green,123.0,L,Cotton
488,Under Armour,Dress,White,105.28625472887768,XXL,Cotton
489,Under Armour,Jeans,Red,49.0,S,Silk
490,New Balance,Jacket,Black,34.0,XL,Silk
491,Under Armour,Sweater,Blue,196.0,S,Silk
492,Puma,Sweater,Red,105.28625472887768,S,Nylon
493,New Balance,Dress,Green,109.0,XS,Cotton
494,Under Armour,Shoes,Yellow,79.0,XL,Wool
495,Reebok,Jacket,Blue,144.0,XS,Denim
496,Under Armour,Jeans,Red,105.28625472887768,XL,Cotton
497,Under Armour,T-shirt,Black,131.0,M,Denim
498,Reebok,Shoes,Blue,178.0,XS,Cotton
499,Adidas,Jacket,Red,198.0,XS,Nylon
500,Nike,Jeans,Blue,105.28625472887768,XXL,Denim
501,Puma,Jacket,Yellow,38.0,XXL,Silk
502,Puma,Sweater,Red,105.28625472887768,L,Cotton
503,New Balance,Jacket,Green,36.0,XS,Denim
504,Under Armour,Jacket,White,105.28625472887768,S,Wool
505,Adidas,T-shirt,Red,189.0,XL,Silk
506,Puma,T-shirt,Green,191.0,XS,Cotton
507,Puma,Dress,Blue,171.0,XL,Polyester
508,Under Armour,Shoes,Black,105.28625472887768,XL,Silk
509,Nike,Sweater,Yellow,135.0,XL,Cotton
510,Under Armour,Dress,Blue,104.0,XL,Wool
511,Reebok,Sweater,Blue,82.0,XL,Wool
512,New Balance,Dress,Red,94.0,XS,Polyester
513,Under Armour,Jacket,Green,145.0,XS,Cotton
514,Adidas,Jeans,Black,118.0,XXL,Cotton
515,Under Armour,Jacket,Green,77.0,XL,Cotton
516,Adidas,Jacket,Red,105.28625472887768,XL,Wool
517,Nike,Sweater,Black,94.0,M,Silk
518,Nike,Shoes,Yellow,81.0,XL,Nylon
519,Nike,Jacket,Red,105.28625472887768,XL,Polyester
520,Puma,T-shirt,Blue,10.0,XXL,Silk
521,Under Armour,T-shirt,Red,105.28625472887768,XL,Silk
522,Under Armour,Dress,Green,101.0,S,Denim
524,New Balance,Jacket,Black,168.0,S,Nylon
525,Under Armour,T-shirt,Green,17.0,S,Silk
526,Under Armour,Dress,Red,105.28625472887768,XL,Polyester
527,Adidas,Jacket,Blue,146.0,XS,Silk
528,New Balance,Dress,Blue,181.0,S,Wool
529,Nike,Shoes,Red,56.0,L,Cotton
530,Under Armour,Jeans,Black,10.0,S,Nylon
531,Adidas,Dress,Black,114.0,M,Silk
533,Reebok,Jacket,White,48.0,XXL,Silk
534,Under Armour,Dress,Green,99.0,M,Silk
535,Puma,Jacket,Green,84.0,M,Silk
536,Nike,Dress,Red,133.0,XS,Cotton
